"","YearEnd","LocationDesc","Question","Data_Value","Age(years)"
"1",2011,"Alabama","Percent of adults aged 18 years and older who have obesity",35.2,"25 - 34"
"2",2011,"National","Percent of adults who engage in no leisure-time physical activity",16.9,"18 - 24"
"3",2016,"Virginia","Percent of adults aged 18 years and older who have an overweight classification",40.1,"35 - 44"
"4",2016,"Washington","Percent of adults who engage in no leisure-time physical activity",18.8,"55 - 64"
"5",2016,"Alabama","Percent of adults aged 18 years and older who have an overweight classification",35.3,"55 - 64"
"6",2011,"National","Percent of adults who engage in no leisure-time physical activity",22.1,"25 - 34"
"7",2011,"National","Percent of adults who engage in no leisure-time physical activity",28.1,"55 - 64"
"8",2015,"South Dakota","Percent of adults aged 18 years and older who have obesity",35.8,"35 - 44"
"9",2016,"Idaho","Percent of adults aged 18 years and older who have an overweight classification",38.4,"55 - 64"
"10",2018,"Alabama","Percent of adults aged 18 years and older who have an overweight classification",31.9,"35 - 44"
"11",2013,"National","Percent of adults aged 18 years and older who have an overweight classification",39.5,"65 or older"
"12",2011,"National","Percent of adults aged 18 years and older who have obesity",29.9,"35 - 44"
"13",2015,"National","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",26.8,"45 - 54"
"14",2013,"Minnesota","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",52.8,"65 or older"
"15",2017,"Colorado","Percent of adults who engage in no leisure-time physical activity",15.7,"18 - 24"
"16",2016,"Wyoming","Percent of adults aged 18 years and older who have obesity",37,"35 - 44"
"17",2016,"Colorado","Percent of adults aged 18 years and older who have obesity",26.9,"45 - 54"
"18",2016,"Wyoming","Percent of adults who engage in no leisure-time physical activity",12.5,"18 - 24"
"19",2016,"Kansas","Percent of adults aged 18 years and older who have obesity",36,"35 - 44"
"20",2016,"South Carolina","Percent of adults who engage in no leisure-time physical activity",29.1,"45 - 54"
"21",2017,"Pennsylvania","Percent of adults aged 18 years and older who have an overweight classification",39.2,"45 - 54"
"22",2017,"Nebraska","Percent of adults who engage in no leisure-time physical activity",28.4,"45 - 54"
"23",2016,"Texas","Percent of adults aged 18 years and older who have obesity",30.7,"25 - 34"
"24",2016,"Colorado","Percent of adults who engage in no leisure-time physical activity",21.5,"65 or older"
"25",2016,"Illinois","Percent of adults aged 18 years and older who have obesity",30.9,"65 or older"
"26",2016,"South Carolina","Percent of adults who engage in no leisure-time physical activity",19.1,"25 - 34"
"27",2016,"New Hampshire","Percent of adults who engage in no leisure-time physical activity",18.4,"35 - 44"
"28",2016,"Michigan","Percent of adults aged 18 years and older who have an overweight classification",38.6,"45 - 54"
"29",2016,"New Mexico","Percent of adults who engage in no leisure-time physical activity",14.5,"25 - 34"
"30",2015,"National","Percent of adults aged 18 years and older who have obesity",34,"45 - 54"
"31",2011,"National","Percent of adults aged 18 years and older who have obesity",32.6,"55 - 64"
"32",2015,"National","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",48.5,"35 - 44"
"33",2017,"Maryland","Percent of adults aged 18 years and older who have an overweight classification",37.1,"65 or older"
"34",2015,"National","Percent of adults aged 18 years and older who have an overweight classification",39.1,"65 or older"
"35",2011,"National","Percent of adults aged 18 years and older who have obesity",25.3,"65 or older"
"36",2016,"Arizona","Percent of adults aged 18 years and older who have obesity",36.4,"45 - 54"
"37",2016,"Mississippi","Percent of adults aged 18 years and older who have obesity",39.8,"55 - 64"
"38",2016,"National","Percent of adults who engage in no leisure-time physical activity",28.3,"55 - 64"
"39",2016,"New Hampshire","Percent of adults who engage in no leisure-time physical activity",12.2,"25 - 34"
"40",2016,"Indiana","Percent of adults aged 18 years and older who have an overweight classification",33.4,"25 - 34"
"41",2016,"New York","Percent of adults who engage in no leisure-time physical activity",30.9,"65 or older"
"42",2016,"Indiana","Percent of adults aged 18 years and older who have an overweight classification",36.3,"35 - 44"
"43",2016,"Illinois","Percent of adults who engage in no leisure-time physical activity",19.8,"25 - 34"
"44",2016,"Colorado","Percent of adults aged 18 years and older who have an overweight classification",38.9,"55 - 64"
"45",2016,"Indiana","Percent of adults aged 18 years and older who have an overweight classification",33.5,"45 - 54"
"46",2016,"Florida","Percent of adults aged 18 years and older who have an overweight classification",39.7,"65 or older"
"47",2016,"Ohio","Percent of adults aged 18 years and older who have obesity",29.7,"25 - 34"
"48",2016,"Iowa","Percent of adults aged 18 years and older who have obesity",18.4,"18 - 24"
"49",2016,"Kentucky","Percent of adults aged 18 years and older who have an overweight classification",37,"45 - 54"
"50",2016,"Missouri","Percent of adults who engage in no leisure-time physical activity",22.1,"25 - 34"
"51",2016,"Kentucky","Percent of adults aged 18 years and older who have an overweight classification",31.2,"35 - 44"
"52",2016,"Virginia","Percent of adults aged 18 years and older who have obesity",25.7,"25 - 34"
"53",2012,"National","Percent of adults aged 18 years and older who have an overweight classification",38.1,"55 - 64"
"54",2015,"National","Percent of adults aged 18 years and older who have an overweight classification",25.2,"18 - 24"
"55",2017,"Connecticut","Percent of adults aged 18 years and older who have obesity",26.4,"65 or older"
"56",2015,"National","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",49.5,"45 - 54"
"57",2017,"Pennsylvania","Percent of adults who engage in no leisure-time physical activity",25.2,"45 - 54"
"58",2011,"National","Percent of adults aged 18 years and older who have an overweight classification",39.5,"65 or older"
"59",2014,"National","Percent of adults aged 18 years and older who have obesity",32.1,"35 - 44"
"60",2016,"South Carolina","Percent of adults aged 18 years and older who have obesity",28.7,"65 or older"
"61",2016,"Illinois","Percent of adults aged 18 years and older who have obesity",27.6,"25 - 34"
"62",2016,"Pennsylvania","Percent of adults who engage in no leisure-time physical activity",13.5,"18 - 24"
"63",2017,"New York","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",52.7,"65 or older"
"64",2013,"North Carolina","Percent of adults aged 18 years and older who have an overweight classification",40.2,"65 or older"
"65",2018,"Ohio","Percent of adults who engage in no leisure-time physical activity",28.1,"55 - 64"
"66",2018,"Pennsylvania","Percent of adults aged 18 years and older who have an overweight classification",39,"65 or older"
"67",2018,"Wisconsin","Percent of adults who engage in no leisure-time physical activity",21.7,"25 - 34"
"68",2018,"Maryland","Percent of adults who engage in no leisure-time physical activity",18.7,"35 - 44"
"69",2018,"South Carolina","Percent of adults who engage in no leisure-time physical activity",23,"25 - 34"
"70",2018,"Montana","Percent of adults aged 18 years and older who have an overweight classification",41.1,"65 or older"
"71",2018,"North Carolina","Percent of adults aged 18 years and older who have obesity",44.5,"45 - 54"
"72",2018,"Wyoming","Percent of adults aged 18 years and older who have obesity",39.9,"45 - 54"
"73",2018,"Kansas","Percent of adults aged 18 years and older who have an overweight classification",28.1,"18 - 24"
"74",2018,"Rhode Island","Percent of adults aged 18 years and older who have obesity",26.6,"65 or older"
"75",2018,"Arizona","Percent of adults aged 18 years and older who have obesity",30.4,"35 - 44"
"76",2018,"New Jersey","Percent of adults aged 18 years and older who have an overweight classification",41.8,"45 - 54"
"77",2018,"Nevada","Percent of adults who engage in no leisure-time physical activity",27.2,"45 - 54"
"78",2017,"Arizona","Percent of adults aged 18 years and older who have an overweight classification",38.4,"55 - 64"
"79",2018,"Florida","Percent of adults who engage in no leisure-time physical activity",27.3,"45 - 54"
"80",2018,"Maryland","Percent of adults who engage in no leisure-time physical activity",20.4,"25 - 34"
"81",2018,"New York","Percent of adults aged 18 years and older who have obesity",31,"55 - 64"
"82",2018,"Connecticut","Percent of adults who engage in no leisure-time physical activity",15.8,"18 - 24"
"83",2018,"New York","Percent of adults aged 18 years and older who have an overweight classification",23.3,"18 - 24"
"84",2018,"Hawaii","Percent of adults aged 18 years and older who have an overweight classification",33.7,"45 - 54"
"85",2018,"Utah","Percent of adults aged 18 years and older who have an overweight classification",25,"18 - 24"
"86",2018,"Indiana","Percent of adults aged 18 years and older who have an overweight classification",36.4,"65 or older"
"87",2018,"Indiana","Percent of adults who engage in no leisure-time physical activity",26.5,"45 - 54"
"88",2018,"Ohio","Percent of adults aged 18 years and older who have an overweight classification",24.4,"18 - 24"
"89",2018,"Nebraska","Percent of adults aged 18 years and older who have an overweight classification",34.7,"45 - 54"
"90",2018,"District of Columbia","Percent of adults aged 18 years and older who have an overweight classification",34.8,"45 - 54"
"91",2018,"Illinois","Percent of adults aged 18 years and older who have an overweight classification",23.6,"18 - 24"
"92",2018,"Alabama","Percent of adults who engage in no leisure-time physical activity",24.7,"25 - 34"
"93",2018,"Rhode Island","Percent of adults aged 18 years and older who have obesity",26.9,"35 - 44"
"94",2018,"Mississippi","Percent of adults aged 18 years and older who have an overweight classification",33.9,"45 - 54"
"95",2018,"Massachusetts","Percent of adults aged 18 years and older who have obesity",27.5,"35 - 44"
"96",2018,"Arkansas","Percent of adults who engage in no leisure-time physical activity",27.2,"35 - 44"
"97",2018,"Massachusetts","Percent of adults aged 18 years and older who have obesity",29.4,"45 - 54"
"98",2018,"Kansas","Percent of adults who engage in no leisure-time physical activity",26.7,"55 - 64"
"99",2018,"Missouri","Percent of adults who engage in no leisure-time physical activity",15.4,"18 - 24"
"100",2018,"Idaho","Percent of adults aged 18 years and older who have an overweight classification",31.8,"25 - 34"
"101",2018,"North Dakota","Percent of adults who engage in no leisure-time physical activity",12.5,"18 - 24"
"102",2018,"Maine","Percent of adults aged 18 years and older who have an overweight classification",40.7,"65 or older"
"103",2018,"Alaska","Percent of adults who engage in no leisure-time physical activity",16,"25 - 34"
"104",2018,"Michigan","Percent of adults who engage in no leisure-time physical activity",21.4,"35 - 44"
"105",2018,"Delaware","Percent of adults who engage in no leisure-time physical activity",16.8,"18 - 24"
"106",2018,"National","Percent of adults aged 18 years and older who have an overweight classification",36.2,"45 - 54"
"107",2018,"Mississippi","Percent of adults aged 18 years and older who have obesity",46.3,"45 - 54"
"108",2018,"Montana","Percent of adults aged 18 years and older who have obesity",11.6,"18 - 24"
"109",2018,"North Carolina","Percent of adults aged 18 years and older who have an overweight classification",40.6,"65 or older"
"110",2018,"Kentucky","Percent of adults aged 18 years and older who have an overweight classification",31.3,"55 - 64"
"111",2018,"Wyoming","Percent of adults aged 18 years and older who have an overweight classification",38,"55 - 64"
"112",2018,"District of Columbia","Percent of adults who engage in no leisure-time physical activity",28,"65 or older"
"113",2018,"Mississippi","Percent of adults aged 18 years and older who have an overweight classification",32.9,"25 - 34"
"114",2018,"New Hampshire","Percent of adults who engage in no leisure-time physical activity",20.4,"45 - 54"
"115",2018,"Maine","Percent of adults aged 18 years and older who have an overweight classification",32.1,"35 - 44"
"116",2018,"Rhode Island","Percent of adults who engage in no leisure-time physical activity",24.8,"35 - 44"
"117",2018,"Vermont","Percent of adults aged 18 years and older who have obesity",19.3,"18 - 24"
"118",2018,"Illinois","Percent of adults who engage in no leisure-time physical activity",22.6,"35 - 44"
"119",2018,"Massachusetts","Percent of adults who engage in no leisure-time physical activity",19.8,"25 - 34"
"120",2018,"Delaware","Percent of adults aged 18 years and older who have an overweight classification",38,"65 or older"
"121",2012,"National","Percent of adults aged 18 years and older who have obesity",33.3,"55 - 64"
"122",2018,"West Virginia","Percent of adults aged 18 years and older who have obesity",40.8,"25 - 34"
"123",2018,"Vermont","Percent of adults who engage in no leisure-time physical activity",20,"45 - 54"
"124",2018,"Wyoming","Percent of adults who engage in no leisure-time physical activity",9.6,"18 - 24"
"125",2015,"National","Percent of adults aged 18 years and older who have an overweight classification",38.6,"55 - 64"
"126",2018,"Georgia","Percent of adults aged 18 years and older who have obesity",32.7,"25 - 34"
"127",2018,"National","Percent of adults who engage in no leisure-time physical activity",25.1,"45 - 54"
"128",2018,"Michigan","Percent of adults aged 18 years and older who have an overweight classification",35.3,"35 - 44"
"129",2018,"Delaware","Percent of adults aged 18 years and older who have an overweight classification",28,"18 - 24"
"130",2018,"Idaho","Percent of adults aged 18 years and older who have obesity",31.8,"55 - 64"
"131",2018,"Hawaii","Percent of adults who engage in no leisure-time physical activity",14.2,"25 - 34"
"132",2018,"Hawaii","Percent of adults who engage in no leisure-time physical activity",16.9,"18 - 24"
"133",2018,"Arizona","Percent of adults aged 18 years and older who have an overweight classification",36.1,"35 - 44"
"134",2018,"Kansas","Percent of adults aged 18 years and older who have an overweight classification",34.8,"55 - 64"
"135",2018,"District of Columbia","Percent of adults aged 18 years and older who have obesity",25.2,"65 or older"
"136",2018,"Kentucky","Percent of adults who engage in no leisure-time physical activity",42.3,"55 - 64"
"137",2018,"Arizona","Percent of adults who engage in no leisure-time physical activity",17.2,"25 - 34"
"138",2018,"Colorado","Percent of adults aged 18 years and older who have an overweight classification",33.5,"25 - 34"
"139",2018,"Oregon","Percent of adults aged 18 years and older who have obesity",14.9,"18 - 24"
"140",2018,"South Dakota","Percent of adults aged 18 years and older who have obesity",35.8,"35 - 44"
"141",2018,"Utah","Percent of adults who engage in no leisure-time physical activity",11.8,"18 - 24"
"142",2018,"Maryland","Percent of adults aged 18 years and older who have an overweight classification",36.7,"35 - 44"
"143",2018,"Georgia","Percent of adults aged 18 years and older who have an overweight classification",34.8,"45 - 54"
"144",2018,"Pennsylvania","Percent of adults aged 18 years and older who have an overweight classification",34.9,"35 - 44"
"145",2018,"Massachusetts","Percent of adults aged 18 years and older who have an overweight classification",36.2,"35 - 44"
"146",2018,"Ohio","Percent of adults aged 18 years and older who have obesity",38.8,"35 - 44"
"147",2018,"Connecticut","Percent of adults aged 18 years and older who have an overweight classification",31.3,"18 - 24"
"148",2018,"Tennessee","Percent of adults aged 18 years and older who have obesity",38.4,"35 - 44"
"149",2018,"Oklahoma","Percent of adults who engage in no leisure-time physical activity",34.6,"55 - 64"
"150",2018,"Illinois","Percent of adults aged 18 years and older who have an overweight classification",38.7,"55 - 64"
"151",2018,"Virginia","Percent of adults aged 18 years and older who have an overweight classification",35,"45 - 54"
"152",2018,"Wisconsin","Percent of adults aged 18 years and older who have obesity",34.4,"25 - 34"
"153",2018,"Tennessee","Percent of adults who engage in no leisure-time physical activity",18.1,"25 - 34"
"154",2018,"New Hampshire","Percent of adults aged 18 years and older who have obesity",24.7,"25 - 34"
"155",2018,"Nevada","Percent of adults aged 18 years and older who have an overweight classification",41,"65 or older"
"156",2018,"Connecticut","Percent of adults aged 18 years and older who have obesity",33.5,"45 - 54"
"157",2018,"Oklahoma","Percent of adults aged 18 years and older who have an overweight classification",36.8,"55 - 64"
"158",2018,"South Dakota","Percent of adults who engage in no leisure-time physical activity",15.3,"35 - 44"
"159",2016,"Florida","Percent of adults who engage in no leisure-time physical activity",28.5,"35 - 44"
"160",2018,"New Jersey","Percent of adults who engage in no leisure-time physical activity",23.9,"25 - 34"
"161",2018,"Maine","Percent of adults aged 18 years and older who have obesity",27.2,"65 or older"
"162",2018,"Kansas","Percent of adults aged 18 years and older who have obesity",39.8,"35 - 44"
"163",2018,"Pennsylvania","Percent of adults aged 18 years and older who have obesity",28.3,"65 or older"
"164",2018,"North Carolina","Percent of adults aged 18 years and older who have an overweight classification",32.2,"25 - 34"
"165",2018,"Texas","Percent of adults aged 18 years and older who have an overweight classification",38.4,"45 - 54"
"166",2018,"Ohio","Percent of adults aged 18 years and older who have an overweight classification",36.1,"55 - 64"
