"","YearEnd","LocationDesc","Question","Data_Value"
"1",2011,"Kansas","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"2",2016,"Vermont","Percent of adults in the state who usually biked or walked to work in the last week",6.5
"3",2012,"New Mexico","Percent of adults in the state who usually biked or walked to work in the last week",2.8
"4",2011,"Virginia","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"5",2015,"Connecticut","Percent of adults in the state who usually biked or walked to work in the last week",3.2
"6",2016,"Nevada","Percent of adults in the state who usually biked or walked to work in the last week",2.1
"7",2016,"Iowa","Percent of adults in the state who usually biked or walked to work in the last week",3.9
"8",2014,"Oklahoma","Percent of adults in the state who usually biked or walked to work in the last week",2
"9",2019,"Rhode Island","Percent of adults in the state who usually biked or walked to work in the last week",3.6
"10",2018,"Tennessee","Percent of adults in the state who usually biked or walked to work in the last week",1.4
"11",2014,"Michigan","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"12",2010,"Alabama","Percent of adults in the state who usually biked or walked to work in the last week",1.4
"13",2011,"North Dakota","Percent of adults in the state who usually biked or walked to work in the last week",4.5
"14",2017,"Connecticut","Percent of adults in the state who usually biked or walked to work in the last week",3.1
"15",2016,"North Carolina","Percent of adults in the state who usually biked or walked to work in the last week",1.9
"16",2017,"Oklahoma","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"17",2013,"Hawaii","Percent of adults in the state who usually biked or walked to work in the last week",5.5
"18",2019,"Utah","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"19",2012,"Florida","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"20",2019,"Arizona","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"21",2015,"Hawaii","Percent of adults in the state who usually biked or walked to work in the last week",5
"22",2015,"South Dakota","Percent of adults in the state who usually biked or walked to work in the last week",3.7
"23",2010,"Colorado","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"24",2018,"Missouri","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"25",2012,"Indiana","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"26",2014,"North Dakota","Percent of adults in the state who usually biked or walked to work in the last week",3.8
"27",2017,"District of Columbia","Percent of adults in the state who usually biked or walked to work in the last week",17.7
"28",2018,"Kansas","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"29",2019,"North Carolina","Percent of adults in the state who usually biked or walked to work in the last week",2
"30",2016,"Arkansas","Percent of adults in the state who usually biked or walked to work in the last week",2.1
"31",2013,"South Dakota","Percent of adults in the state who usually biked or walked to work in the last week",4.6
"32",2010,"Georgia","Percent of adults in the state who usually biked or walked to work in the last week",1.7
"33",2017,"Indiana","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"34",2017,"Illinois","Percent of adults in the state who usually biked or walked to work in the last week",3.5
"35",2014,"Alabama","Percent of adults in the state who usually biked or walked to work in the last week",1.3
"36",2012,"Ohio","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"37",2019,"Minnesota","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"38",2018,"Virginia","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"39",2016,"Michigan","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"40",2012,"Vermont","Percent of adults in the state who usually biked or walked to work in the last week",7.1
"41",2013,"Iowa","Percent of adults in the state who usually biked or walked to work in the last week",4.3
"42",2017,"New York","Percent of adults in the state who usually biked or walked to work in the last week",6.9
"43",2013,"Montana","Percent of adults in the state who usually biked or walked to work in the last week",6.8
"44",2010,"South Carolina","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"45",2017,"Utah","Percent of adults in the state who usually biked or walked to work in the last week",3.1
"46",2010,"Mississippi","Percent of adults in the state who usually biked or walked to work in the last week",1.8
"47",2015,"Minnesota","Percent of adults in the state who usually biked or walked to work in the last week",3.6
"48",2015,"Ohio","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"49",2012,"California","Percent of adults in the state who usually biked or walked to work in the last week",3.8
"50",2018,"Idaho","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"51",2010,"Oklahoma","Percent of adults in the state who usually biked or walked to work in the last week",2
"52",2010,"Missouri","Percent of adults in the state who usually biked or walked to work in the last week",2.4
"53",2014,"Texas","Percent of adults in the state who usually biked or walked to work in the last week",1.9
"54",2017,"Louisiana","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"55",2010,"Wyoming","Percent of adults in the state who usually biked or walked to work in the last week",5.3
"56",2010,"Indiana","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"57",2013,"Missouri","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"58",2018,"California","Percent of adults in the state who usually biked or walked to work in the last week",3.5
"59",2019,"National","Percent of adults in the state who usually biked or walked to work in the last week",3.1
"60",2013,"Alaska","Percent of adults in the state who usually biked or walked to work in the last week",9.8
"61",2012,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4.7
"62",2016,"Montana","Percent of adults in the state who usually biked or walked to work in the last week",6.9
"63",2016,"Pennsylvania","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"64",2013,"Oklahoma","Percent of adults in the state who usually biked or walked to work in the last week",2
"65",2018,"Ohio","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"66",2012,"Wisconsin","Percent of adults in the state who usually biked or walked to work in the last week",4.2
"67",2013,"New Hampshire","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"68",2010,"Maryland","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"69",2017,"West Virginia","Percent of adults in the state who usually biked or walked to work in the last week",3.1
"70",2010,"Utah","Percent of adults in the state who usually biked or walked to work in the last week",3.6
"71",2011,"Puerto Rico","Percent of adults in the state who usually biked or walked to work in the last week",4
"72",2015,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"73",2017,"Texas","Percent of adults in the state who usually biked or walked to work in the last week",1.8
"74",2016,"Delaware","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"75",2012,"Utah","Percent of adults in the state who usually biked or walked to work in the last week",3.6
"76",2014,"Kansas","Percent of adults in the state who usually biked or walked to work in the last week",2.8
"77",2015,"Mississippi","Percent of adults in the state who usually biked or walked to work in the last week",1.7
"78",2018,"Mississippi","Percent of adults in the state who usually biked or walked to work in the last week",1.5
